Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
5714261,Writing Windows Virtual Device Drivers,Addison-Wesley (C),"(C), Addison-Wesley",Bryan Woodruff,"=""020162706X""","=""9780201627060""",5,0.0,Addison-Wesley (C),Paperback,452,1993,1993,,2024/09/14,,,read,,,,1,0
1334498,Writing Windows Virtural Device Drivers (2nd Edition),David Thielen,"Thielen, David",,"=""020148921X""","=""9780201489217""",5,0.0,Addison-Wesley Professional,Paperback,,1995,1995,,2024/09/14,,,read,,,,1,0
20563058,"Planet Strike (Extinction Wars, #2)",Vaughn Heppner,"Heppner, Vaughn",,"=""""","=""""",5,4.00,,Kindle Edition,350,2014,2014,,2024/09/14,,,read,,,,1,0
23999928,"Starship Blackbeard (Starship Blackbeard, #1)",Michael  Wallace,"Wallace, Michael",,"=""""","=""""",5,3.74,Balsalom Publishing,Kindle Edition,219,2014,2014,,2024/09/14,,,read,,,,1,0
24796913,"Dreadnought (Starship Blackbeard, #3)",Michael  Wallace,"Wallace, Michael",,"=""""","=""""",5,3.97,Balsalom Publishing,Kindle Edition,239,2015,2015,,2024/09/14,,,read,,,,1,0
20766547,"The Memory of Sky (Great Ship, #4)",Robert Reed,"Reed, Robert",,"=""1607014297""","=""9781607014294""",5,3.53,Prime Books,Kindle Edition,624,2014,2014,,2024/09/14,,,read,,,,1,0
19073463,"The Skinner (Spatterjay, #1)",Neal Asher,"Asher, Neal",,"=""""","=""""",5,4.15,Tor Books,Kindle Edition,433,2005,2002,,2024/09/14,,,read,,,,1,0
18913708,The Departure (The Owner Book 1),Neal Asher,"Asher, Neal",,"=""""","=""""",5,3.85,Night Shade Books,Kindle Edition,395,2013,2011,,2024/09/14,,,read,,,,1,0
24292492,"Warship (Black Fleet Trilogy, #1)",Joshua Dalzelle,"Dalzelle, Joshua",,"=""""","=""""",5,4.09,,Kindle Edition,310,2015,2015,,2024/09/14,,,read,,,,1,0
23820230,All My Sins Remembered,Joe Haldeman,"Haldeman, Joe",,"=""""","=""""",5,3.83,Open Road Media Sci-Fi & Fantasy,Kindle Edition,198,2014,2005,,2024/09/14,,,read,,,,1,0
